name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.	conc.
191	9017	682887	0.2461E-01	0.2900E+00	0.3510E+00	0.6409E+00	0.7327E-02	0.1465E-02
191	9017	677887	0.2510E-01	0.2981E+00	0.3550E+00	0.6531E+00	0.7533E-02	0.1507E-02
191	9017	672887	0.2581E-01	0.2725E+00	0.3590E+00	0.6315E+00	0.7754E-02	0.1551E-02
191	9017	667887	0.2628E-01	0.2760E+00	0.3623E+00	0.6382E+00	0.7741E-02	0.1548E-02
191	9017	662887	0.2686E-01	0.2837E+00	0.3672E+00	0.6510E+00	0.7927E-02	0.1585E-02
191	9017	657887	0.2709E-01	0.2879E+00	0.3707E+00	0.6587E+00	0.7963E-02	0.1593E-02
191	9083	654534	0.2762E-01	0.2946E+00	0.3754E+00	0.6700E+00	0.8138E-02	0.1628E-02
162	10368	401463	0.1529E+00	0.1234E+01	0.6650E+00	0.1899E+01	0.2416E-01	0.1339E-01
159	8258	397105	0.1497E+00	0.1243E+01	0.6404E+00	0.1883E+01	0.2458E-01	0.1284E-01
162	9920	398644	0.1521E+00	0.1251E+01	0.6520E+00	0.1903E+01	0.2436E-01	0.1268E-01
159	9017	392887	0.1512E+00	0.1246E+01	0.6833E+00	0.1930E+01	0.2544E-01	0.1407E-01
159	9439	388410	0.1525E+00	0.1244E+01	0.6898E+00	0.1934E+01	0.2638E-01	0.1523E-01
159	11165	383841	0.1585E+00	0.1261E+01	0.8464E+00	0.2107E+01	0.2834E-01	0.1840E-01
190	15953	820155	0.1513E-01	0.1615E+00	0.2685E+00	0.4300E+00	0.4266E-02	0.8532E-03
190	15028	814864	0.1540E-01	0.1649E+00	0.2705E+00	0.4354E+00	0.4344E-02	0.8688E-03
190	14334	810143	0.1560E-01	0.1676E+00	0.2719E+00	0.4395E+00	0.4409E-02	0.8818E-03
190	13690	805277	0.1592E-01	0.1686E+00	0.2798E+00	0.4484E+00	0.4435E-02	0.8869E-03
190	13347	800387	0.1616E-01	0.1713E+00	0.2817E+00	0.4531E+00	0.4499E-02	0.8997E-03
190	13347	795387	0.1641E-01	0.1745E+00	0.2846E+00	0.4591E+00	0.4576E-02	0.9152E-03
190	13347	790387	0.1665E-01	0.1774E+00	0.2876E+00	0.4651E+00	0.4649E-02	0.9297E-03
190	13347	785387	0.1698E-01	0.1826E+00	0.2907E+00	0.4733E+00	0.4771E-02	0.9543E-03
190	13347	780387	0.1730E-01	0.1866E+00	0.2936E+00	0.4802E+00	0.4860E-02	0.9721E-03
190	13347	775387	0.1758E-01	0.1903E+00	0.2952E+00	0.4855E+00	0.4940E-02	0.9879E-03
190	13347	770387	0.1795E-01	0.1946E+00	0.2991E+00	0.4937E+00	0.5025E-02	0.1005E-02
190	13347	765387	0.1828E-01	0.1992E+00	0.3023E+00	0.5015E+00	0.5131E-02	0.1026E-02
190	13347	760387	0.1848E-01	0.2023E+00	0.3031E+00	0.5053E+00	0.5196E-02	0.1039E-02
190	13347	755387	0.1883E-01	0.2072E+00	0.3060E+00	0.5132E+00	0.5308E-02	0.1062E-02
190	13347	750387	0.1919E-01	0.2120E+00	0.3089E+00	0.5210E+00	0.5419E-02	0.1084E-02
190	12671	746041	0.1944E-01	0.2157E+00	0.3104E+00	0.5261E+00	0.5506E-02	0.1101E-02
191	13175	702963	0.2307E-01	0.2655E+00	0.3427E+00	0.6082E+00	0.6709E-02	0.1342E-02
191	13347	700387	0.2329E-01	0.2690E+00	0.3439E+00	0.6129E+00	0.6797E-02	0.1359E-02
191	13347	695387	0.2388E-01	0.2770E+00	0.3491E+00	0.6260E+00	0.6982E-02	0.1396E-02
191	13347	690387	0.2435E-01	0.2841E+00	0.3520E+00	0.6361E+00	0.7164E-02	0.1433E-02
191	13347	685387	0.2496E-01	0.2929E+00	0.3574E+00	0.6503E+00	0.7377E-02	0.1475E-02
191	13347	680387	0.2557E-01	0.3022E+00	0.3627E+00	0.6648E+00	0.7598E-02	0.1520E-02
191	13347	675387	0.2601E-01	0.3097E+00	0.3655E+00	0.6752E+00	0.7773E-02	0.1555E-02
191	13347	670387	0.2684E-01	0.2837E+00	0.3719E+00	0.6556E+00	0.8023E-02	0.1605E-02
191	13347	665387	0.2731E-01	0.2869E+00	0.3750E+00	0.6619E+00	0.7992E-02	0.1598E-02
191	13347	660387	0.2795E-01	0.2955E+00	0.3785E+00	0.6740E+00	0.8227E-02	0.1645E-02
191	13357	655652	0.2815E-01	0.2991E+00	0.3836E+00	0.6827E+00	0.8228E-02	0.1646E-02
162	14230	404300	0.1585E+00	0.1254E+01	0.6861E+00	0.1940E+01	0.2376E-01	0.1311E-01
162	13347	400387	0.1584E+00	0.1257E+01	0.7116E+00	0.1969E+01	0.2455E-01	0.1396E-01
159	13114	394093	0.1602E+00	0.1263E+01	0.7447E+00	0.2008E+01	0.2618E-01	0.1572E-01
162	13505	396267	0.1605E+00	0.1265E+01	0.7313E+00	0.1996E+01	0.2579E-01	0.1520E-01
159	13347	390387	0.1589E+00	0.1251E+01	0.7424E+00	0.1993E+01	0.2641E-01	0.1633E-01
159	13347	385387	0.1589E+00	0.1253E+01	0.8209E+00	0.2074E+01	0.2716E-01	0.1738E-01
159	13650	381070	0.1624E+00	0.1281E+01	0.9763E+00	0.2258E+01	0.2917E-01	0.1931E-01
169	15206	379836	0.1651E+00	0.1289E+01	0.1034E+01	0.2323E+01	0.2927E-01	0.1973E-01
188	14704	378110	0.1634E+00	0.1327E+01	0.1038E+01	0.2365E+01	0.2941E-01	0.2021E-01
169	14115	377876	0.1632E+00	0.2098E+01	0.9804E+00	0.3078E+01	0.2953E-01	0.2050E-01
187	14841	375339	0.1651E+00	0.2709E+01	0.9755E+00	0.3684E+01	0.2993E-01	0.2106E-01
188	14673	377099	0.1638E+00	0.2106E+01	0.9957E+00	0.3101E+01	0.2959E-01	0.2054E-01
190	19588	832293	0.1465E-01	0.1571E+00	0.2648E+00	0.4220E+00	0.4191E-02	0.8383E-03
190	18902	827592	0.1491E-01	0.1591E+00	0.2682E+00	0.4272E+00	0.4211E-02	0.8423E-03
190	18231	822719	0.1510E-01	0.1611E+00	0.2692E+00	0.4303E+00	0.4254E-02	0.8509E-03
190	17726	817881	0.1533E-01	0.1634E+00	0.2710E+00	0.4344E+00	0.4304E-02	0.8608E-03
190	17677	812887	0.1561E-01	0.1666E+00	0.2741E+00	0.4407E+00	0.4380E-02	0.8760E-03
190	17677	807887	0.1587E-01	0.1701E+00	0.2771E+00	0.4472E+00	0.4467E-02	0.8934E-03
190	17677	802887	0.1618E-01	0.1733E+00	0.2807E+00	0.4540E+00	0.4536E-02	0.9072E-03
190	17677	797887	0.1655E-01	0.1752E+00	0.2879E+00	0.4631E+00	0.4583E-02	0.9165E-03
190	17677	792887	0.1678E-01	0.1784E+00	0.2913E+00	0.4697E+00	0.4669E-02	0.9339E-03
190	17677	787887	0.1708E-01	0.1820E+00	0.2944E+00	0.4764E+00	0.4744E-02	0.9488E-03
190	17677	782887	0.1739E-01	0.1859E+00	0.2977E+00	0.4837E+00	0.4830E-02	0.9659E-03
190	17677	777887	0.1771E-01	0.1899E+00	0.3004E+00	0.4903E+00	0.4917E-02	0.9833E-03
190	17677	772887	0.1803E-01	0.1955E+00	0.3020E+00	0.4975E+00	0.5044E-02	0.1009E-02
190	17677	767887	0.1840E-01	0.2003E+00	0.3060E+00	0.5063E+00	0.5150E-02	0.1030E-02
190	17677	762887	0.1871E-01	0.2046E+00	0.3089E+00	0.5135E+00	0.5246E-02	0.1049E-02
190	17677	757887	0.1907E-01	0.2091E+00	0.3124E+00	0.5215E+00	0.5343E-02	0.1069E-02
