name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.
190	17677	797887	0.3310E-08	0.2797E-04	0.3754E-03	0.4034E-03	0.2281E-05
190	17677	792887	0.3931E-08	0.2873E-04	0.3871E-03	0.4158E-03	0.2325E-05
190	17677	787887	0.4363E-08	0.2955E-04	0.3961E-03	0.4257E-03	0.2369E-05
190	17677	782887	0.5037E-08	0.3036E-04	0.4082E-03	0.4385E-03	0.2407E-05
190	17677	777887	0.5629E-08	0.3125E-04	0.4214E-03	0.4526E-03	0.2456E-05
190	17677	772887	0.6693E-08	0.3227E-04	0.4346E-03	0.4668E-03	0.2501E-05
190	17677	767887	0.7807E-08	0.3348E-04	0.4494E-03	0.4829E-03	0.2556E-05
190	17677	762887	0.7559E-08	0.3366E-04	0.4398E-03	0.4734E-03	0.2519E-05
190	17677	757887	0.8620E-08	0.3475E-04	0.4540E-03	0.4887E-03	0.2577E-05
190	17621	752950	0.9622E-08	0.3590E-04	0.4705E-03	0.5064E-03	0.2647E-05
190	16337	749049	0.1081E-07	0.3674E-04	0.4834E-03	0.5202E-03	0.2699E-05
191	17612	701776	0.3905E-07	0.6008E-04	0.6475E-03	0.7075E-03	0.3568E-05
191	17625	697887	0.4381E-07	0.6325E-04	0.6667E-03	0.7299E-03	0.3691E-05
191	17586	692888	0.5024E-07	0.6761E-04	0.6900E-03	0.7576E-03	0.3846E-05
191	17538	687890	0.5636E-07	0.7271E-04	0.7156E-03	0.7883E-03	0.4025E-05
191	17481	682893	0.6620E-07	0.7775E-04	0.7430E-03	0.8208E-03	0.4205E-05
191	17424	677894	0.7462E-07	0.8145E-04	0.7537E-03	0.8351E-03	0.4323E-05
191	17369	672897	0.1240E-06	-0.8514E-04	0.7802E-03	0.6951E-03	0.4496E-05
191	17309	667900	0.1417E-06	-0.9787E-04	0.8130E-03	0.7151E-03	0.4723E-05
191	17245	662902	0.1620E-06	-0.1137E-03	0.8441E-03	0.7304E-03	0.4939E-05
191	17180	657902	0.1794E-06	-0.1229E-03	0.8576E-03	0.7348E-03	0.5080E-05
191	17257	654361	0.1979E-06	-0.1294E-03	0.8819E-03	0.7525E-03	0.5243E-05
162	19208	410811	0.4405E-04	-0.7171E-03	0.3474E-02	0.2757E-02	0.2092E-04
162	18195	407429	0.4170E-04	-0.3586E-03	0.3439E-02	0.3081E-02	0.2040E-04
162	17677	402887	0.3961E-04	0.1384E-03	0.3468E-02	0.3606E-02	0.1957E-04
162	17675	397888	0.3967E-04	0.9063E-03	0.3467E-02	0.4374E-02	0.2149E-04
159	17107	392827	0.3473E-04	0.1243E-02	0.3361E-02	0.4604E-02	0.2072E-04
162	17677	395108	0.3569E-04	0.1054E-02	0.3474E-02	0.4528E-02	0.2126E-04
169	19331	392307	0.3955E-04	0.1302E-02	0.3588E-02	0.4890E-02	0.1565E-04
159	16397	388266	0.3658E-04	0.1260E-02	0.3216E-02	0.4476E-02	0.1607E-04
169	18544	387630	0.3738E-04	0.1397E-02	0.3305E-02	0.4702E-02	0.1528E-04
159	15584	383578	0.3467E-04	0.1475E-02	0.3130E-02	0.4605E-02	0.1564E-04
169	17869	382823	0.3546E-04	0.1538E-02	0.3244E-02	0.4782E-02	0.1483E-04
169	17475	379724	0.3288E-04	0.3529E-02	0.3297E-02	0.6826E-02	0.1484E-04
188	15028	377977	0.3001E-04	0.5810E-02	0.3117E-02	0.8927E-02	0.1561E-04
190	22365	834942	0.1253E-08	0.2468E-04	0.3108E-03	0.3355E-03	0.2147E-05
190	22007	830387	0.1417E-08	0.2535E-04	0.3187E-03	0.3441E-03	0.2191E-05
190	22007	825387	0.1636E-08	0.2558E-04	0.3231E-03	0.3487E-03	0.2216E-05
190	22007	820387	0.1926E-08	0.2630E-04	0.3323E-03	0.3586E-03	0.2264E-05
190	22007	815387	0.2172E-08	0.2702E-04	0.3419E-03	0.3690E-03	0.2314E-05
190	22007	810387	0.2459E-08	0.2792E-04	0.3524E-03	0.3803E-03	0.2369E-05
190	22007	805387	0.3088E-08	0.2872E-04	0.3631E-03	0.3918E-03	0.2421E-05
190	22007	800387	0.3455E-08	0.2954E-04	0.3719E-03	0.4014E-03	0.2480E-05
190	22007	795387	0.4059E-08	0.3034E-04	0.3843E-03	0.4147E-03	0.2531E-05
190	22007	790387	0.4470E-08	0.2987E-04	0.3989E-03	0.4287E-03	0.2384E-05
190	22007	785387	0.5090E-08	0.3069E-04	0.4110E-03	0.4417E-03	0.2423E-05
190	22007	780387	0.5791E-08	0.3158E-04	0.4237E-03	0.4553E-03	0.2469E-05
190	22007	775387	0.6360E-08	0.3196E-04	0.4297E-03	0.4617E-03	0.2487E-05
190	22007	770387	0.7768E-08	0.3296E-04	0.4436E-03	0.4765E-03	0.2535E-05
190	22007	765387	0.7518E-08	0.3398E-04	0.4431E-03	0.4771E-03	0.2534E-05
190	22007	760387	0.8621E-08	0.3509E-04	0.4574E-03	0.4925E-03	0.2592E-05
190	21473	755873	0.9552E-08	0.3613E-04	0.4726E-03	0.5087E-03	0.2656E-05
190	20530	752740	0.1017E-07	0.3682E-04	0.4817E-03	0.5185E-03	0.2692E-05
191	19809	700455	0.4211E-07	0.6275E-04	0.6692E-03	0.7320E-03	0.3677E-05
191	19696	695445	0.4907E-07	0.6704E-04	0.6940E-03	0.7610E-03	0.3837E-05
191	19583	690434	0.5440E-07	0.7026E-04	0.7036E-03	0.7738E-03	0.3938E-05
191	19470	685422	0.6201E-07	0.7564E-04	0.7298E-03	0.8054E-03	0.4121E-05
191	19357	680408	0.7254E-07	0.8075E-04	0.7582E-03	0.8390E-03	0.4310E-05
191	19271	675398	0.8237E-07	0.8642E-04	0.7879E-03	0.8744E-03	0.4512E-05
191	19186	670392	0.1347E-06	-0.9701E-04	0.8002E-03	0.7032E-03	0.4634E-05
162	23263	414250	0.4920E-04	-0.1058E-02	0.3949E-02	0.2891E-02	0.2110E-04
162	22028	410359	0.4579E-04	-0.4964E-03	0.3950E-02	0.3453E-02	0.2052E-04
162	22007	405387	0.4480E-04	0.4223E-03	0.4024E-02	0.4446E-02	0.2140E-04
105	24197	399263	0.3720E-04	0.6622E-02	0.4319E-02	0.1094E-01	0.1952E-04
162	21932	400503	0.3987E-04	0.9707E-03	0.4103E-02	0.5074E-02	0.2082E-04
159	19436	394843	0.3438E-04	0.3407E-02	0.3587E-02	0.6993E-02	0.2044E-04
162	20554	397117	0.3738E-04	0.1407E-02	0.3858E-02	0.5265E-02	0.2094E-04
169	20291	393622	0.3810E-04	0.3446E-02	0.3487E-02	0.6933E-02	0.1537E-04
169	21713	390085	0.4050E-04	0.1486E-02	0.3625E-02	0.5111E-02	0.1393E-04
169	22007	385387	0.3822E-04	0.1567E-02	0.3399E-02	0.4966E-02	0.1404E-04
169	21503	381457	0.3597E-04	0.1670E-02	0.3520E-02	0.5189E-02	0.1486E-04
66	23239	372035	0.3117E-04	0.7214E-02	0.3555E-02	0.1077E-01	0.1398E-04
190	27713	840657	0.1194E-08	0.2442E-04	0.3070E-03	0.3314E-03	0.2110E-05
190	26530	837631	0.1259E-08	0.2433E-04	0.3065E-03	0.3309E-03	0.2119E-05
190	26337	832887	0.1457E-08	0.2502E-04	0.3146E-03	0.3397E-03	0.2168E-05
190	26337	827887	0.1678E-08	0.2579E-04	0.3237E-03	0.3494E-03	0.2217E-05
190	26337	822887	0.2049E-08	0.2653E-04	0.3340E-03	0.3605E-03	0.2267E-05
190	26337	817887	0.2299E-08	0.2725E-04	0.3437E-03	0.3710E-03	0.2318E-05
190	26337	812887	0.2593E-08	0.2816E-04	0.3542E-03	0.3823E-03	0.2373E-05
190	26337	807887	0.3101E-08	0.2897E-04	0.3652E-03	0.3942E-03	0.2427E-05
190	26337	802887	0.3733E-08	0.2976E-04	0.3726E-03	0.4023E-03	0.2476E-05
190	26337	797887	0.4171E-08	0.3063E-04	0.3855E-03	0.4161E-03	0.2538E-05
190	26337	792887	0.4958E-08	0.3146E-04	0.3979E-03	0.4294E-03	0.2588E-05
190	26337	787887	0.5433E-08	0.3173E-04	0.4026E-03	0.4344E-03	0.2611E-05
190	26337	782887	0.6053E-08	0.3123E-04	0.4181E-03	0.4493E-03	0.2450E-05
190	26337	777887	0.6796E-08	0.3223E-04	0.4316E-03	0.4639E-03	0.2498E-05
190	26337	772887	0.8058E-08	0.3328E-04	0.4453E-03	0.4786E-03	0.2544E-05
190	26337	767887	0.7968E-08	0.3433E-04	0.4459E-03	0.4803E-03	0.2545E-05
190	26335	762890	0.9175E-08	0.3544E-04	0.4603E-03	0.4958E-03	0.2603E-05
190	25205	758919	0.9325E-08	0.3631E-04	0.4727E-03	0.5090E-03	0.2653E-05
162	26979	417269	0.5549E-04	-0.1490E-02	0.8336E-02	0.6847E-02	0.2017E-04
162	26337	412887	0.5482E-04	-0.6441E-03	0.8313E-02	0.7669E-02	0.2096E-04
162	26337	407887	0.4942E-04	0.3695E-03	0.4574E-02	0.4943E-02	0.2137E-04
105	27504	400902	0.3914E-04	0.1115E-01	0.4906E-02	0.1605E-01	0.1668E-04
162	26268	403006	0.4340E-04	0.9692E-03	0.4642E-02	0.5611E-02	0.2068E-04
105	25702	399767	0.3777E-04	0.1078E-01	0.4374E-02	0.1516E-01	0.1672E-04
162	25090	400050	0.4309E-04	0.1987E-02	0.4272E-02	0.6259E-02	0.1676E-04
169	25331	386908	0.3955E-04	0.1696E-02	0.3583E-02	0.5280E-02	0.1416E-04
169	26403	383195	0.3925E-04	0.1751E-02	0.3752E-02	0.5503E-02	0.1325E-04
66	24359	372144	0.3119E-04	0.5208E-02	0.3579E-02	0.8787E-02	0.1338E-04
