name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
162            10368  401463  0.1985E+01  0.1656E+02  0.1496E+02  0.3152E+02  0.3213E+00  0.1781E+00
159             8258  397105  0.2078E+01  0.1727E+02  0.1515E+02  0.3242E+02  0.3210E+00  0.1676E+00
162             9920  398644  0.2016E+01  0.1689E+02  0.1504E+02  0.3193E+02  0.3195E+00  0.1663E+00
159             9017  392887  0.2092E+01  0.1721E+02  0.1521E+02  0.3242E+02  0.3184E+00  0.1761E+00
159             9439  388410  0.2151E+01  0.1750E+02  0.1532E+02  0.3282E+02  0.3164E+00  0.1826E+00
159            11165  383841  0.2160E+01  0.1712E+02  0.1535E+02  0.3247E+02  0.3147E+00  0.2043E+00
190            15953  820155  0.5830E+00  0.7391E+01  0.7035E+01  0.1443E+02  0.1747E+00  0.3495E-01
190            15028  814864  0.5853E+00  0.7459E+01  0.7084E+01  0.1454E+02  0.1759E+00  0.3517E-01
190            14334  810143  0.5809E+00  0.7357E+01  0.7126E+01  0.1448E+02  0.1768E+00  0.3536E-01
190            13690  805277  0.5782E+00  0.7241E+01  0.7226E+01  0.1447E+02  0.1790E+00  0.3581E-01
190            13347  800387  0.5816E+00  0.7269E+01  0.7273E+01  0.1454E+02  0.1800E+00  0.3601E-01
190            13347  795387  0.5854E+00  0.7300E+01  0.7325E+01  0.1462E+02  0.1811E+00  0.3622E-01
190            13347  790387  0.5876E+00  0.7320E+01  0.7376E+01  0.1470E+02  0.1821E+00  0.3643E-01
190            13347  785387  0.5916E+00  0.7357E+01  0.7430E+01  0.1479E+02  0.1832E+00  0.3664E-01
190            13347  780387  0.5970E+00  0.7406E+01  0.7486E+01  0.1489E+02  0.1843E+00  0.3686E-01
190            13347  775387  0.6024E+00  0.7466E+01  0.7548E+01  0.1501E+02  0.1855E+00  0.3710E-01
190            13347  770387  0.6082E+00  0.7527E+01  0.7606E+01  0.1513E+02  0.1866E+00  0.3731E-01
190            13347  765387  0.6143E+00  0.7591E+01  0.7673E+01  0.1526E+02  0.1877E+00  0.3753E-01
190            13347  760387  0.6199E+00  0.7647E+01  0.7738E+01  0.1538E+02  0.1886E+00  0.3772E-01
190            13347  755387  0.6230E+00  0.7683E+01  0.7794E+01  0.1548E+02  0.1892E+00  0.3784E-01
190            13347  750387  0.6263E+00  0.7721E+01  0.7853E+01  0.1557E+02  0.1898E+00  0.3797E-01
190            12671  746041  0.6300E+00  0.7761E+01  0.7904E+01  0.1566E+02  0.1905E+00  0.3810E-01
191            13175  702963  0.6798E+00  0.8278E+01  0.8469E+01  0.1675E+02  0.1991E+00  0.3983E-01
191            13347  700387  0.6832E+00  0.8314E+01  0.8506E+01  0.1682E+02  0.1997E+00  0.3995E-01
191            13347  695387  0.6906E+00  0.8395E+01  0.8576E+01  0.1697E+02  0.2011E+00  0.4021E-01
191            13347  690387  0.6996E+00  0.8489E+01  0.8653E+01  0.1714E+02  0.2025E+00  0.4050E-01
191            13347  685387  0.7087E+00  0.8587E+01  0.8728E+01  0.1732E+02  0.2040E+00  0.4081E-01
191            13347  680387  0.7183E+00  0.8692E+01  0.8806E+01  0.1750E+02  0.2057E+00  0.4113E-01
191            13347  675387  0.7289E+00  0.8806E+01  0.8881E+01  0.1769E+02  0.2073E+00  0.4146E-01
191            13347  670387  0.7438E+00  0.7941E+01  0.8977E+01  0.1692E+02  0.2099E+00  0.4198E-01
191            13347  665387  0.7556E+00  0.8045E+01  0.9061E+01  0.1711E+02  0.2120E+00  0.4239E-01
191            13347  660387  0.7664E+00  0.8144E+01  0.9138E+01  0.1728E+02  0.2140E+00  0.4279E-01
191            13357  655652  0.7771E+00  0.8244E+01  0.9217E+01  0.1746E+02  0.2161E+00  0.4322E-01
162            14230  404300  0.1882E+01  0.1590E+02  0.1472E+02  0.3063E+02  0.3183E+00  0.1757E+00
162            13347  400387  0.1918E+01  0.1606E+02  0.1485E+02  0.3090E+02  0.3180E+00  0.1808E+00
159            13114  394093  0.1952E+01  0.1611E+02  0.1498E+02  0.3109E+02  0.3154E+00  0.1895E+00
162            13505  396267  0.1933E+01  0.1604E+02  0.1490E+02  0.3094E+02  0.3157E+00  0.1861E+00
159            13347  390387  0.1961E+01  0.1607E+02  0.1497E+02  0.3104E+02  0.3137E+00  0.1939E+00
159            13347  385387  0.1975E+01  0.1601E+02  0.1513E+02  0.3114E+02  0.3119E+00  0.1996E+00
159            13650  381070  0.1858E+01  0.1502E+02  0.1508E+02  0.3010E+02  0.3092E+00  0.2047E+00
169            15206  379836  0.1741E+01  0.1420E+02  0.1491E+02  0.2911E+02  0.3064E+00  0.2066E+00
188            14704  378110  0.1712E+01  0.1437E+02  0.1490E+02  0.2927E+02  0.3054E+00  0.2100E+00
169            14115  377876  0.1768E+01  0.2126E+02  0.1538E+02  0.3664E+02  0.3055E+00  0.2121E+00
187            14841  375339  0.1685E+01  0.2529E+02  0.1630E+02  0.4159E+02  0.3079E+00  0.2167E+00
188            14673  377099  0.1725E+01  0.2082E+02  0.1530E+02  0.3612E+02  0.3043E+00  0.2112E+00
190            19588  832293  0.5796E+00  0.7384E+01  0.6953E+01  0.1434E+02  0.1725E+00  0.3450E-01
190            18902  827592  0.5819E+00  0.7419E+01  0.6990E+01  0.1441E+02  0.1735E+00  0.3470E-01
190            18231  822719  0.5767E+00  0.7266E+01  0.7031E+01  0.1430E+02  0.1745E+00  0.3489E-01
190            17726  817881  0.5780E+00  0.7275E+01  0.7070E+01  0.1435E+02  0.1755E+00  0.3510E-01
190            17677  812887  0.5781E+00  0.7266E+01  0.7117E+01  0.1438E+02  0.1766E+00  0.3532E-01
190            17677  807887  0.5783E+00  0.7261E+01  0.7167E+01  0.1443E+02  0.1777E+00  0.3553E-01
190            17677  802887  0.5821E+00  0.7290E+01  0.7216E+01  0.1451E+02  0.1787E+00  0.3575E-01
190            17677  797887  0.5820E+00  0.7260E+01  0.7318E+01  0.1458E+02  0.1810E+00  0.3621E-01
190            17677  792887  0.5863E+00  0.7299E+01  0.7370E+01  0.1467E+02  0.1821E+00  0.3643E-01
190            17677  787887  0.5904E+00  0.7342E+01  0.7419E+01  0.1476E+02  0.1833E+00  0.3665E-01
190            17677  782887  0.5957E+00  0.7392E+01  0.7474E+01  0.1487E+02  0.1844E+00  0.3688E-01
190            17677  777887  0.6008E+00  0.7445E+01  0.7532E+01  0.1498E+02  0.1856E+00  0.3712E-01
190            17677  772887  0.6054E+00  0.7500E+01  0.7589E+01  0.1509E+02  0.1867E+00  0.3733E-01
190            17677  767887  0.6114E+00  0.7562E+01  0.7652E+01  0.1521E+02  0.1878E+00  0.3756E-01
190            17677  762887  0.6166E+00  0.7620E+01  0.7714E+01  0.1533E+02  0.1889E+00  0.3777E-01
190            17677  757887  0.6204E+00  0.7666E+01  0.7774E+01  0.1544E+02  0.1896E+00  0.3792E-01
190            17621  752950  0.6231E+00  0.7697E+01  0.7830E+01  0.1553E+02  0.1900E+00  0.3801E-01
190            16337  749049  0.6262E+00  0.7731E+01  0.7876E+01  0.1561E+02  0.1906E+00  0.3811E-01
191            17612  701776  0.6787E+00  0.8298E+01  0.8500E+01  0.1680E+02  0.2002E+00  0.4003E-01
191            17625  697887  0.6841E+00  0.8353E+01  0.8554E+01  0.1691E+02  0.2009E+00  0.4018E-01
191            17586  692888  0.6917E+00  0.8438E+01  0.8629E+01  0.1707E+02  0.2023E+00  0.4046E-01
191            17538  687890  0.7003E+00  0.8532E+01  0.8703E+01  0.1723E+02  0.2038E+00  0.4076E-01
191            17481  682893  0.7094E+00  0.8634E+01  0.8780E+01  0.1741E+02  0.2053E+00  0.4107E-01
191            17424  677894  0.7190E+00  0.8738E+01  0.8851E+01  0.1759E+02  0.2068E+00  0.4137E-01
191            17369  672897  0.7346E+00  0.7886E+01  0.8950E+01  0.1684E+02  0.2094E+00  0.4187E-01
191            17309  667900  0.7449E+00  0.7980E+01  0.9029E+01  0.1701E+02  0.2112E+00  0.4224E-01
191            17245  662902  0.7561E+00  0.8080E+01  0.9108E+01  0.1719E+02  0.2132E+00  0.4264E-01
191            17180  657902  0.7671E+00  0.8178E+01  0.9188E+01  0.1737E+02  0.2151E+00  0.4303E-01
191            17257  654361  0.7745E+00  0.8250E+01  0.9245E+01  0.1750E+02  0.2167E+00  0.4334E-01
162            19208  410811  0.1791E+01  0.1531E+02  0.1443E+02  0.2974E+02  0.3165E+00  0.1713E+00
162            18195  407429  0.1801E+01  0.1533E+02  0.1450E+02  0.2983E+02  0.3152E+00  0.1740E+00
162            17677  402887  0.1805E+01  0.1530E+02  0.1458E+02  0.2989E+02  0.3137E+00  0.1792E+00
162            17675  397888  0.1804E+01  0.1518E+02  0.1464E+02  0.2982E+02  0.3113E+00  0.1859E+00
159            17107  392827  0.1818E+01  0.1514E+02  0.1475E+02  0.2988E+02  0.3098E+00  0.1924E+00
162            17677  395108  0.1805E+01  0.1512E+02  0.1469E+02  0.2980E+02  0.3102E+00  0.1884E+00
169            19331  392307  0.1750E+01  0.1462E+02  0.1463E+02  0.2925E+02  0.3070E+00  0.1933E+00
159            16397  388266  0.1827E+01  0.1510E+02  0.1483E+02  0.2994E+02  0.3082E+00  0.1945E+00
169            18544  387630  0.1749E+01  0.1452E+02  0.1472E+02  0.2924E+02  0.3053E+00  0.1954E+00
159            15584  383578  0.1829E+01  0.1496E+02  0.1497E+02  0.2993E+02  0.3081E+00  0.2004E+00
169            17869  382823  0.1718E+01  0.1420E+02  0.1478E+02  0.2898E+02  0.3042E+00  0.1991E+00
169            17475  379724  0.1708E+01  0.1916E+02  0.1528E+02  0.3444E+02  0.3010E+00  0.2007E+00
188            15028  377977  0.1768E+01  0.2540E+02  0.1635E+02  0.4175E+02  0.3101E+00  0.2168E+00
190            22365  834942  0.5726E+00  0.7184E+01  0.6952E+01  0.1414E+02  0.1723E+00  0.3446E-01
190            22007  830387  0.5745E+00  0.7215E+01  0.6985E+01  0.1420E+02  0.1733E+00  0.3465E-01
190            22007  825387  0.5741E+00  0.7207E+01  0.7026E+01  0.1423E+02  0.1744E+00  0.3488E-01
190            22007  820387  0.5753E+00  0.7213E+01  0.7072E+01  0.1429E+02  0.1755E+00  0.3511E-01
190            22007  815387  0.5764E+00  0.7224E+01  0.7114E+01  0.1434E+02  0.1767E+00  0.3533E-01
190            22007  810387  0.5780E+00  0.7243E+01  0.7160E+01  0.1440E+02  0.1777E+00  0.3554E-01
190            22007  805387  0.5807E+00  0.7271E+01  0.7209E+01  0.1448E+02  0.1788E+00  0.3575E-01
190            22007  800387  0.5846E+00  0.7308E+01  0.7256E+01  0.1456E+02  0.1799E+00  0.3597E-01
190            22007  795387  0.5883E+00  0.7346E+01  0.7302E+01  0.1465E+02  0.1810E+00  0.3620E-01
190            22007  790387  0.5897E+00  0.7332E+01  0.7409E+01  0.1474E+02  0.1834E+00  0.3668E-01
190            22007  785387  0.5942E+00  0.7382E+01  0.7463E+01  0.1484E+02  0.1846E+00  0.3691E-01
190            22007  780387  0.5995E+00  0.7434E+01  0.7519E+01  0.1495E+02  0.1857E+00  0.3714E-01
190            22007  775387  0.6049E+00  0.7492E+01  0.7577E+01  0.1507E+02  0.1869E+00  0.3738E-01
190            22007  770387  0.6099E+00  0.7547E+01  0.7635E+01  0.1518E+02  0.1880E+00  0.3759E-01
190            22007  765387  0.6145E+00  0.7603E+01  0.7696E+01  0.1530E+02  0.1890E+00  0.3781E-01
190            22007  760387  0.6185E+00  0.7652E+01  0.7753E+01  0.1541E+02  0.1899E+00  0.3799E-01
190            21473  755873  0.6209E+00  0.7683E+01  0.7806E+01  0.1549E+02  0.1904E+00  0.3808E-01
190            20530  752740  0.6228E+00  0.7704E+01  0.7840E+01  0.1554E+02  0.1907E+00  0.3813E-01
191            19809  700455  0.6790E+00  0.8317E+01  0.8521E+01  0.1684E+02  0.2007E+00  0.4014E-01
191            19696  695445  0.6863E+00  0.8394E+01  0.8596E+01  0.1699E+02  0.2019E+00  0.4038E-01
191            19583  690434  0.6944E+00  0.8485E+01  0.8674E+01  0.1716E+02  0.2033E+00  0.4067E-01
191            19470  685422  0.7031E+00  0.8582E+01  0.8745E+01  0.1733E+02  0.2048E+00  0.4097E-01
191            19357  680408  0.7122E+00  0.8683E+01  0.8819E+01  0.1750E+02  0.2064E+00  0.4127E-01
191            19271  675398  0.7229E+00  0.8800E+01  0.8894E+01  0.1769E+02  0.2081E+00  0.4162E-01
191            19186  670392  0.7375E+00  0.7926E+01  0.8988E+01  0.1691E+02  0.2104E+00  0.4207E-01
162            23263  414250  0.1713E+01  0.1482E+02  0.1425E+02  0.2908E+02  0.3135E+00  0.1680E+00
162            22028  410359  0.1733E+01  0.1489E+02  0.1431E+02  0.2920E+02  0.3130E+00  0.1725E+00
162            22007  405387  0.1721E+01  0.1470E+02  0.1436E+02  0.2906E+02  0.3101E+00  0.1786E+00
105            24197  399263  0.1714E+01  0.2530E+02  0.1606E+02  0.4136E+02  0.3181E+00  0.2031E+00
162            21932  400503  0.1705E+01  0.1450E+02  0.1442E+02  0.2892E+02  0.3075E+00  0.1847E+00
159            19436  394843  0.1826E+01  0.1897E+02  0.1524E+02  0.3421E+02  0.3096E+00  0.2046E+00
162            20554  397117  0.1743E+01  0.1551E+02  0.1458E+02  0.3009E+02  0.3064E+00  0.1871E+00
169            20291  393622  0.1795E+01  0.2048E+02  0.1532E+02  0.3580E+02  0.3050E+00  0.1916E+00
169            21713  390085  0.1665E+01  0.1398E+02  0.1452E+02  0.2850E+02  0.3026E+00  0.1944E+00
