name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
191             4686  660387  0.1410E-04  0.1372E-03  0.1353E-03  0.2725E-03  0.4022E-05  0.8043E-06
191             4703  655817  0.1459E-04  0.1418E-03  0.1371E-03  0.2789E-03  0.4147E-05  0.8295E-06
159             6076  398315  0.4372E-04  0.4418E-03  0.1869E-03  0.6286E-03  0.1193E-04  0.6091E-05
159             4829  395187  0.4287E-04  0.4334E-03  0.1860E-03  0.6195E-03  0.1179E-04  0.6123E-05
159             5252  391155  0.4269E-04  0.4281E-03  0.1870E-03  0.6151E-03  0.1184E-04  0.6471E-05
190            11196  802308  0.6815E-05  0.7418E-04  0.1141E-03  0.1882E-03  0.2105E-05  0.4209E-06
190            10446  797499  0.6910E-05  0.7522E-04  0.1141E-03  0.1894E-03  0.2133E-05  0.4267E-06
190             9753  792686  0.7026E-05  0.7649E-04  0.1144E-03  0.1909E-03  0.2173E-05  0.4346E-06
190             9181  787844  0.7130E-05  0.7763E-04  0.1144E-03  0.1920E-03  0.2204E-05  0.4409E-06
190             9017  782887  0.7280E-05  0.7908E-04  0.1152E-03  0.1942E-03  0.2242E-05  0.4483E-06
190             9017  777887  0.7416E-05  0.8047E-04  0.1155E-03  0.1960E-03  0.2276E-05  0.4553E-06
190             9017  772887  0.7586E-05  0.8215E-04  0.1164E-03  0.1986E-03  0.2318E-05  0.4635E-06
190             9017  767887  0.7735E-05  0.8366E-04  0.1169E-03  0.2005E-03  0.2355E-05  0.4710E-06
190             9017  762887  0.7913E-05  0.8547E-04  0.1176E-03  0.2031E-03  0.2398E-05  0.4797E-06
190             9017  757887  0.8076E-05  0.8716E-04  0.1180E-03  0.2051E-03  0.2438E-05  0.4875E-06
190             9017  752887  0.8277E-05  0.8917E-04  0.1189E-03  0.2081E-03  0.2486E-05  0.4971E-06
