name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190            22007  820387  0.3295E-02  0.3450E-01  0.5431E-01  0.8881E-01  0.9235E-03  0.1847E-03
190            22007  815387  0.3374E-02  0.3531E-01  0.5511E-01  0.9043E-01  0.9429E-03  0.1886E-03
190            22007  810387  0.3451E-02  0.3604E-01  0.5572E-01  0.9176E-01  0.9587E-03  0.1917E-03
190            22007  805387  0.3541E-02  0.3689E-01  0.5658E-01  0.9347E-01  0.9774E-03  0.1955E-03
190            22007  800387  0.3606E-02  0.3751E-01  0.5691E-01  0.9441E-01  0.9909E-03  0.1982E-03
190            22007  795387  0.3698E-02  0.3831E-01  0.5776E-01  0.9607E-01  0.1011E-02  0.2021E-03
190            22007  790387  0.3810E-02  0.3878E-01  0.5911E-01  0.9789E-01  0.1032E-02  0.2064E-03
190            22007  785387  0.3909E-02  0.3965E-01  0.6011E-01  0.9976E-01  0.1053E-02  0.2106E-03
190            22007  780387  0.3980E-02  0.4033E-01  0.6059E-01  0.1009E+00  0.1069E-02  0.2138E-03
190            22007  775387  0.4089E-02  0.4125E-01  0.6153E-01  0.1028E+00  0.1091E-02  0.2182E-03
190            22007  770387  0.4182E-02  0.4186E-01  0.6235E-01  0.1042E+00  0.1112E-02  0.2224E-03
190            22007  765387  0.4245E-02  0.4233E-01  0.6278E-01  0.1051E+00  0.1130E-02  0.2260E-03
190            22007  760387  0.4364E-02  0.4326E-01  0.6389E-01  0.1071E+00  0.1155E-02  0.2311E-03
190            21473  755873  0.4440E-02  0.4389E-01  0.6445E-01  0.1083E+00  0.1174E-02  0.2349E-03
190            20530  752740  0.4484E-02  0.4424E-01  0.6470E-01  0.1089E+00  0.1185E-02  0.2370E-03
191            19809  700455  0.5983E-02  0.5883E-01  0.7408E-01  0.1329E+00  0.1530E-02  0.3059E-03
191            19696  695445  0.6099E-02  0.6074E-01  0.7425E-01  0.1350E+00  0.1579E-02  0.3159E-03
191            19583  690434  0.6301E-02  0.6261E-01  0.7566E-01  0.1383E+00  0.1622E-02  0.3244E-03
191            19470  685422  0.6463E-02  0.6416E-01  0.7639E-01  0.1405E+00  0.1654E-02  0.3308E-03
191            19357  680408  0.6602E-02  0.6553E-01  0.7679E-01  0.1423E+00  0.1682E-02  0.3364E-03
191            19271  675398  0.6786E-02  0.6762E-01  0.7835E-01  0.1460E+00  0.1732E-02  0.3464E-03
191            19186  670392  0.7012E-02  0.6444E-01  0.7966E-01  0.1441E+00  0.1782E-02  0.3563E-03
162            23263  414250  0.4184E-01  0.3253E+00  0.1108E+00  0.4361E+00  0.6659E-02  0.3568E-02
162            22028  410359  0.4153E-01  0.3230E+00  0.1094E+00  0.4324E+00  0.6692E-02  0.3688E-02
162            22007  405387  0.4167E-01  0.3221E+00  0.1093E+00  0.4313E+00  0.6756E-02  0.3893E-02
105            24197  399263  0.4392E-01  0.5830E+00  0.1132E+00  0.6963E+00  0.6885E-02  0.4397E-02
162            21932  400503  0.4169E-01  0.3211E+00  0.1107E+00  0.4318E+00  0.6876E-02  0.4130E-02
159            19436  394843  0.4092E-01  0.4002E+00  0.1051E+00  0.5052E+00  0.6983E-02  0.4615E-02
162            20554  397117  0.4087E-01  0.3341E+00  0.1097E+00  0.4438E+00  0.6867E-02  0.4193E-02
169            20291  393622  0.4233E-01  0.4596E+00  0.1212E+00  0.5807E+00  0.7485E-02  0.4702E-02
169            21713  390085  0.4207E-01  0.3225E+00  0.1273E+00  0.4499E+00  0.7806E-02  0.5013E-02
