x	y	tot_dep-mol~ha~y
138920	572887	143.39
138920	577887	142.85
138920	582887	142.4
138920	587887	141.71
138920	652887	134.08
138920	657887	133.19
138920	662887	132.29
138920	667887	131.34
138920	672887	130.43
138920	677887	134.24
138920	682887	133.19
138931	592870	141.16
138947	512788	150.92
138952	537886	147.27
138955	532903	147.5
138971	552818	145.94
138975	497917	153.68
139087	602560	140.05
139319	687311	132.3
139375	529203	147.77
139610	382224	374.58
139611	396442	344.56
139818	596255	141.08
140240	515755	155.77
140286	556432	146.55
140331	480398	156.5
140400	479605	181.35
140458	390426	237.83
140490	410654	239.23
140503	390674	237.62
140732	388367	249.89
141046	597808	189.54
141554	402199	246.68
141883	647655	135.28
141908	408215	278.83
141968	406661	262.85
142172	492198	156.33
142261	597301	187.85
142589	480386	175.75
142598	601484	140.32
142651	650571	134.8
142705	561044	145.01
142722	381788	293.12
142770	655394	133.87
142800	660394	132.94
142831	491155	204.33
142831	665394	132.01
142861	670394	131.11
142891	675393	134.97
142920	680392	133.88
142948	685391	132.87
143008	396804	286.29
143221	531043	148.74
143224	689923	131.93
143241	495404	154.83
143250	500387	154.17
143250	505387	153.42
143250	510387	152.56
143250	535387	149.39
143250	540387	147.85
143250	545387	147.33
143250	550387	146.71
143250	555387	145.8
143250	565387	144.43
143250	570387	143.87
143250	575387	143.37
143250	580387	142.87
143250	585387	142.18
143250	590387	141.56
143319	595085	140.49
143349	515229	151.33
143488	604903	139.74
143686	599806	241.16
143799	410597	232.67
143842	599001	241.48
143981	398794	287.63
144230	559284	145.27
144376	383964	257.42
144559	376781	270.91
144708	672887	130.77
144748	677889	134.53
144789	682890	133.42
144829	687892	132.45
144869	692795	131.41
145016	399016	302.37
145162	519592	150.18
145359	396588	279.46
145510	425789	208.08
145594	598994	190.74
146048	386785	267.94
146255	599928	175.68
146359	494707	163.23
146492	410863	236.57
146541	395200	290.08
146733	563922	144.67
146786	397789	230.94
147022	383075	276.83
147413	603568	139.76
147537	497955	154.95
147558	426175	221.86
147581	502887	154.37
147581	507887	153.69
147581	512887	152.95
147581	517887	151.79
147581	532887	149.48
147581	537887	148.81
147581	542887	148.14
147581	547887	147.42
147581	552887	146.44
147581	557887	145.62
147581	567887	144.26
147581	572887	143.63
147581	577887	143.04
147581	582887	142.54
147581	587887	141.96
147581	592887	141.3
147651	379380	278.39
147741	521423	151.84
147754	597075	139.7
147844	601391	181.99
147852	396164	282.97
147862	607502	139.5
148066	409776	237.25
148182	562148	144.97
148295	424642	216.02
148489	528408	149.81
148521	493656	180.12
148923	495770	161.28
148968	424681	216.07
149007	610474	139.21
149212	601158	221.49
149500	409952	224.68
149536	477876	159.18
149802	523028	151.81
150464	382976	345.91
150479	382678	346.35
150508	602873	181.38
150575	497479	160.85
150689	478559	193.15
150812	425734	201.19
151330	601841	200.13
151362	566568	143.89
151549	519793	152.32
151563	563782	144.46
151594	545552	147.66
151605	602125	212.31
151623	476717	158.92
151744	492305	216.37
151780	500571	155.15
151838	560387	145.19
151876	605494	139.43
151910	540385	148.77
151911	505387	154.65
151911	510387	154.03
151911	515387	153.09
151911	530387	150.68
151911	535387	149.85
151911	550387	146.98
151911	555387	145.98
151911	570387	143.66
151911	575387	143.19
151911	580387	142.7
151911	585387	142.24
151911	590387	141.67
151911	595387	140.88
151960	495310	170.05
151965	525400	151.42
152047	610036	139.31
152101	602954	226.8
152222	366396	287.81
152554	599163	143.9
152658	603149	158.36
152691	424621	205.19
152736	521744	154.92
152962	441950	213.61
152988	368540	278.61
153087	443043	209.95
153170	498576	185.29
153325	375133	296.02
153411	565193	149.22
153885	444359	235.7
154178	557260	145.12
154401	560379	144.54
154495	424793	209.49
154507	568906	156.19
154545	566314	150.33
154556	562232	175.62
154899	541356	147.95
154931	493966	187.71
154966	552789	146.21
155069	500317	162.06
155079	562641	186.11
155105	548138	146.29
155140	517073	154.62
155278	573004	142.54
155364	558145	144.47
155428	497778	179.9
155690	604785	148.04
155694	578136	142.46
155793	428246	230.78
155836	603311	173.43
155850	503148	155.23
155873	500451	162.17
155939	427935	200.4
156055	442717	181.69
156165	507916	154.56
156182	512848	153.92
156237	537878	149.71
156241	522887	152.54
156241	527887	151.78
156241	532887	151.01
156241	582887	141.93
156241	587887	141.63
156241	592887	141.15
156241	597887	140.59
156241	607887	139.41
156323	553219	160.97
156389	444613	212.74
156508	612130	139.21
156521	365843	343.1
156781	364653	352.08
156961	601870	139.91
156963	518451	153.26
157169	376662	287.96
157201	373026	322.67
157379	472392	184.91
157810	431444	196.35
157905	444202	215.4
158063	445248	231.4
158238	544000	166.42
158249	514252	155.24
158529	507093	157.69
158565	366197	309.14
158936	581660	142.78
159075	431845	228.07
159119	510236	154.99
159293	444537	195.56
159615	369949	313.09
159657	472417	185.33
159768	506987	192.28
160078	606663	139.68
160316	539349	149.26
160459	585541	141.47
